scene	Nc	Hc	full_histogram
D7N2EKCX4Sj_region18	9	2.3828370464559034	"[29349.   190.  1137.     0.  9735.     0.  3308.  8643.     0.     0.
   905.     0.  6854.     0.     0.     0.     0.     0.     0.     0.
 25818.]"
D7G3Y4RVNrH_region3	10	2.5626910055187984	"[32465. 19309.  1196.     0. 20662.     0.  8245.  2659.  1362. 32158.
  1169.     0.     0.  2116.     0.     0.     0.     0.     0.     0.
     0.]"
D7N2EKCX4Sj_region10	8	1.8860903567917484	"[99751. 16477.  2633.     0.     0.     0.     0. 12686.     0.     0.
     0.     0.     0.     0.     0.     0.  1295.  2823.     0.  7794.
 19834.]"
D7G3Y4RVNrH_region4	6	1.6658962737632412	"[59223.  6671.     0.     0.  4581.     0.     0.  3942.  7288.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  6577.]"
B6ByNegPMKs_region80	6	2.3154014320546827	"[31388. 21008.     0.     0.     0.     0.     0.  4738. 24588.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0. 11669.
 48834.]"
D7N2EKCX4Sj_region1	6	1.7808093489225687	"[ 26114.  16758.      0.      0.      0.      0.  30366.   2925.   1424.
      0.      0.      0.      0.      0.      0.      0.      0.      0.
      0.      0. 100536.]"
D7N2EKCX4Sj_region13	4	1.6574594398765685	"[19162.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0. 15277.     0.     0.  2980.     0.
  4334.]"
D7N2EKCX4Sj_region20	4	1.5047747993706304	"[26879.  7769.     0.     0.     0.     0.     0.     0.     0.     0.
  2186.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  6675.]"
D7N2EKCX4Sj_region21	4	1.6489680501504997	"[36748.  9881.     0.     0.     0.     0.     0.  8178.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  8751.]"
D7N2EKCX4Sj_region23	6	1.9786696244557649	"[17742.  1020.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0. 17046.  1919.     0.  2975.     0.
  4916.]"
D7N2EKCX4Sj_region25	7	2.3847642692617117	"[18481.  4635.     0.     0.     0.     0.     0.     0.     0.     0.
  2821.     0.     0.     0.     0. 20063.  5845.     0.     0.  1391.
 11631.]"
D7N2EKCX4Sj_region17	5	2.250406827345404	"[13326.  9227.     0.     0.     0.     0.     0.  6705. 15240.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 16747.]"
D7N2EKCX4Sj_region14	9	2.849539324097588	"[27842.  8694.     0.     0.     0.     0.     0.  6000.     0.     0.
     0.     0.     0. 13922.     0.     0.  5263.  5691.  2101. 10980.
  8127.]"
D7N2EKCX4Sj_region2	11	2.6617848678072935	"[34871. 37127.  3707.     0.    46.     0. 31957.  7195.  2608.     0.
  1138.  5943.     0.     0.     0.     0.     0.     0.     0.  2704.
 28719.]"
D7N2EKCX4Sj_region22	13	3.029373318718606	"[40103. 14010.     0.     0.  4762.     0.  4923. 16621.  2281.     0.
  1331.     0.     0.  5553.     0.  5340.  1197.  2956.     0.  5700.
 14819.]"
D7N2EKCX4Sj_region30	5	1.9012727840870798	"[ 4496.  7132.     0.     0.  3082.     0.     0.     0.  9363.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 26118.]"
D7N2EKCX4Sj_region3	10	2.8787568316509886	"[23771. 20691.     0.     0.  7268. 12221. 14057. 20708.     0.  6943.
   589.     0.     0.     0.     0.     0.     0.     0.     0.  1392.
 38137.]"
D7N2EKCX4Sj_region19	7	2.382367545959581	"[48021. 13917.     0.     0.  3105.     0.     0. 39038. 11770.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0. 10347.
 55428.]"
D7N2EKCX4Sj_region16	7	2.492046853166687	"[19711.  7658.  4596.     0.     0.     0.     0. 13590.     0.     0.
  1517.     0.     0.     0.     0.     0.     0.     0.     0.  5417.
  6828.]"
D7N2EKCX4Sj_region26	10	2.800391798409711	"[40548. 14433.     0. 25682.     0.     0.  3467. 11065.  6222.     0.
   668.     0.     0.     0.     0.     0.     0.  2246.     0. 24881.
 13498.]"
D7N2EKCX4Sj_region31	12	3.0985719653593677	"[38382. 14186.  7425. 36783. 11021.     0.  8477.  5483.  7430.     0.
  1100.     0.     0. 16990.     0.     0.     0.     0.     0.  1475.
 23827.]"
D7N2EKCX4Sj_region15	11	2.9993083615831786	"[41652. 10774.     0. 14145. 10727.     0.  3697. 18900.  4166.     0.
  1576.     0.     0. 10563.     0.     0.     0.     0.     0.  3768.
 15085.]"
D7N2EKCX4Sj_region37	6	2.247184981232489	"[28053. 11335.     0.     0.     0.     0.     0.  8728.  4406.     0.
  3232.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 11989.]"
D7N2EKCX4Sj_region27	8	2.294863667004056	"[28241.  4039.     0.     0.     0.     0.     0.  6204.     0.     0.
   303.     0.     0.     0.     0. 24189.  4421.     0.     0.  1611.
  7948.]"
D7N2EKCX4Sj_region32	10	2.5083726154373576	"[70272. 18744.  7434.     0.     0.     0.     0.  5370.  4447.     0.
   455.     0.     0. 19533.     0.     0.     0.     0. 12431.   907.
 35453.]"
D7N2EKCX4Sj_region38	12	3.227596371952961	"[33343. 14831.     0. 12114.  9186.     0.  3446. 12804.  7089.     0.
  1087.     0.     0. 28756.     0.     0.     0.     0.  8072.  7327.
 21375.]"
D7N2EKCX4Sj_region35	6	2.4021626321249707	"[29066. 13407.     0.     0.  5536.     0.     0. 12227. 18251.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 29825.]"
D7N2EKCX4Sj_region28	10	2.823254962213479	"[40642. 11990.     0.     0. 10057.     0.     0. 14544.  5854.     0.
   675.     0.     0. 13756.     0.     0.     0.  2549.     0.  4806.
 15136.]"
D7N2EKCX4Sj_region29	8	2.4153280429121717	"[25693.  4332.     0.     0.     0.     0.     0.  3193.     0.     0.
     0.     0.     0.     0.     0. 22001.  3530.     0.  3940.  1325.
 10191.]"
D7N2EKCX4Sj_region5	5	1.431792853523139	"[29865.  9816.     0.     0.  3247.     0.     0.     0.     0.     0.
  1100.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  1395.]"
D7N2EKCX4Sj_region24	12	3.013062166110649	"[46879. 13907.     0. 32513.  5054.     0. 11352. 16284.  4939.     0.
  1721.     0.     0.  7682.     0.     0.     0.  2929.     0.  3105.
 14458.]"
D7N2EKCX4Sj_region33	8	2.5739619498195463	"[33552.  6936.     0.     0.     0.     0.     0. 19095.     0.     0.
     0.     0.     0. 15971.     0.     0.  4919.  7615.     0.  1243.
  8194.]"
D7N2EKCX4Sj_region41	13	3.1928370187219106	"[43208. 20165.  7181.  7139. 23264.     0.  5142.  8746.  5307.     0.
  2062.  1515.     0. 18203.     0.     0.     0.     0.     0.  5972.
 28689.]"
D7N2EKCX4Sj_region8	6	1.9809730950489421	"[25171. 10633.     0.     0.     0.     0.     0.  3550.     0.     0.
     0.     0.     0.     0.     0.     0.  2353.     0.     0.  1066.
  7709.]"
D7N2EKCX4Sj_region34	7	2.239972126366403	"[30941. 14131.     0.     0.  1617.     0.     0.  8586.     0.     0.
  1569.     0.     0.     0.     0.     0.     0.     0.     0.  3441.
 14939.]"
D7N2EKCX4Sj_region40	5	2.2040457064119097	"[17470. 12078.     0.     0.  5929.     0.     0.     0. 19189.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  8773.]"
D7N2EKCX4Sj_region42	8	2.567517253969533	"[31706.  7852.     0.     0.     0.     0.     0. 11831.     0.     0.
   645.     0.     0.     0.     0. 17959.  4617.  5848.     0.     0.
 11332.]"
D7N2EKCX4Sj_region7	8	2.227466771263311	"[48687. 14645.     0.     0.     0.     0.  3728. 26101.     0.     0.
   756.     0.     0.     0.     0.     0.     0.   861.     0.  5196.
 13798.]"
E9uDoFAP3SH_region10	4	1.4627730071780884	"[47154. 11055.     0.     0.     0.     0.     0. 58617.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  2353.]"
D7N2EKCX4Sj_region36	10	2.6928488479238766	"[13063. 18206.     0.     0. 18783.  4529.  4298.     0.  4310.     0.
  2347.     0.  8162.     0.     0.     0.     0.     0.     0.  3874.
 49524.]"
D7N2EKCX4Sj_region39	9	2.6458433525108678	"[31619.  8120.     0.     0.     0.     0.     0.  7326.     0.     0.
   507.     0.     0.     0.     0. 17793.  5353.  5130.     0.  2632.
 10809.]"
D7N2EKCX4Sj_region4	8	2.2089478956938944	"[77125. 14469.     0.     0. 21709.     0.  7410.  5127.  5342.     0.
  2246.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 15447.]"
E9uDoFAP3SH_region12	3	0.9788378626667251	"[75000. 12818.     0.     0.     0.     0.     0.  8558.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
E9uDoFAP3SH_region13	8	2.357971840775841	"[40439. 36085.  6761.     0.  4783.     0.  6633.     0. 17134.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  4007.
 75368.]"
D7N2EKCX4Sj_region6	5	1.8768461886303656	"[27506. 14192.     0.     0.     0.     0.     0. 41363.     0.     0.
  1164.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 10266.]"
E9uDoFAP3SH_region16	5	2.1501538190455483	"[44541. 28212.     0.     0.     0.     0.     0.  8283. 18227.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 30785.]"
D7N2EKCX4Sj_region9	6	1.8489191196447634	"[30815.  6155.     0.     0.     0.     0.     0.  5832.     0.     0.
   285.     0.     0.     0.     0.     0.  2889.     0.     0.     0.
  8559.]"
E9uDoFAP3SH_region14	7	2.2547627402169175	"[44059. 16120.     0.     0.     0.     0.     0.  3515. 25854.     0.
     0.     0.     0. 87768.     0.     0.     0.     0.     0.  8103.
 16362.]"
E9uDoFAP3SH_region18	3	1.4079900103887895	"[49484. 13157.     0.     0.     0.     0.     0. 47547.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
E9uDoFAP3SH_region23	5	1.750336647748264	"[28580.  3696.     0.     0.     0.     0.     0. 28087.     0.     0.
     0.     0.     0.  2825.     0.     0.     0.     0.     0.     0.
  5095.]"
E9uDoFAP3SH_region19	6	2.1746968665141053	"[44178. 12930.     0.     0.     0.     0.     0. 36741. 21361.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  4477.
  4574.]"
E9uDoFAP3SH_region15	6	2.055868868889494	"[23943. 16587.     0.     0.     0.     0.     0.     0. 15234.     0.
     0.     0.     0. 97396.     0.     0.     0.     0.     0.  7955.
 24243.]"
E9uDoFAP3SH_region0	13	3.0544208652166103	"[34860. 21144.     0. 11969.  1694.  5500.  4824. 16812.  3109.     0.
  2263.     0.  2219. 37528.     0.     0.     0.     0.     0.  5070.
 39948.]"
E9uDoFAP3SH_region1	5	2.0024625473797775	"[78909. 12476.     0.     0.     0.     0.     0. 41571. 42223.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 11612.]"
E9uDoFAP3SH_region11	6	1.9452667584349423	"[87509.  9851.     0.     0.     0.     0.     0. 38005.     0.     0.
     0.     0.     0.     0.     0.     0.     0.  8609.  8082.     0.
 13512.]"
E9uDoFAP3SH_region27	3	1.3143730167988599	"[36375. 12131.     0.     0.     0.     0.     0. 68682.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
E9uDoFAP3SH_region17	3	1.413224228495154	"[48591. 13181.     0.     0.     0.     0.     0. 45968.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
E9uDoFAP3SH_region26	5	2.155201734884803	"[30211. 12944.     0.     0.     0.     0.     0. 16438.  6393.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 13762.]"
E9uDoFAP3SH_region28	1	-0.0	"[   0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
    0.    0.    0.    0.    0.    0.    0.    0. 6263.]"
E9uDoFAP3SH_region29	2	0.5473042795247188	"[1359.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
    0.    0.    0.    0.    0.    0.    0.    0. 9398.]"
E9uDoFAP3SH_region21	11	3.0290925174551195	"[35285. 23803.     0.     0. 13011.  3819. 10423. 17353.  4292.     0.
  9304.     0.     0. 38768.     0.     0.     0.     0.     0.  1450.
 37388.]"
E9uDoFAP3SH_region34	1	-0.0	"[    0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 19683.]"
E9uDoFAP3SH_region25	4	1.9280678607900117	"[20003.  9967.     0.     0.     0.     0.     0.     0. 18783.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 10376.]"
E9uDoFAP3SH_region24	4	1.558487730130403	"[32587.  4517.     0.     0.     0.     0.     0. 17402.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  4471.]"
E9uDoFAP3SH_region3	5	2.2243908455846224	"[50192. 35802.     0.     0.     0.     0.     0. 34880. 19420.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 62549.]"
E9uDoFAP3SH_region20	9	2.8969203086362767	"[33125. 20912.   822.     0. 38249.     0. 21530. 21037.     0.     0.
  7768.     0.     0. 16061.     0.     0.     0.     0.     0.     0.
 37170.]"
E9uDoFAP3SH_region37	8	1.947246384458686	"[90125.  4325. 17346.     0.     0.     0.     0. 18851.     0.     0.
  9528.     0.     0.     0.     0.     0.  5389.  2852.     0.     0.
  2244.]"
E9uDoFAP3SH_region2	3	1.3472534302802828	"[61874. 13315.     0.     0.     0.     0.     0. 30767.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
E9uDoFAP3SH_region38	3	1.3450337686243605	"[44464.  9529.     0.     0.     0.     0.     0. 51044.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
E9uDoFAP3SH_region22	7	2.271681917521725	"[45510. 18792.     0.     0. 16635.     0.     0.     0. 15753.     0.
     0.     0.     0. 87449.     0.     0.     0.     0.     0.  2036.
 16909.]"
E9uDoFAP3SH_region42	3	1.2388910652900877	"[28888. 11609.     0.     0.     0.     0.     0. 74778.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
E9uDoFAP3SH_region4	6	2.3066139528342844	"[47558. 35163.     0.     0.     0.     0.     0. 43328. 20223.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  1320.
 48506.]"
E9uDoFAP3SH_region33	5	2.025754179816908	"[14592. 21604.     0.     0.     0.     0.     0.  5562. 17616.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  2239.]"
E9uDoFAP3SH_region41	3	1.1642517442251568	"[26619. 12119.     0.     0.     0.     0.     0. 87570.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
E9uDoFAP3SH_region31	7	2.2333515597688147	"[63900. 30227.     0.     0.  3028.     0.     0. 25734.     0.     0.
  8467.     0.     0.     0.     0.     0.     0.     0.     0.  1157.
 31445.]"
E9uDoFAP3SH_region39	3	1.347618258743785	"[14364.  8401.     0.     0.     0.     0.     0. 34454.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
E9uDoFAP3SH_region30	3	1.3900773508329487	"[ 3711.  8251.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 14857.]"
E9uDoFAP3SH_region32	10	2.8040541701914634	"[29498. 46102. 17207.     0. 18827.     0. 11890. 16572.  4779.     0.
  3191.     0.     0. 56975.     0.     0.     0.     0.     0.     0.
  1244.]"
E9uDoFAP3SH_region44	9	2.8631598622867602	"[37535. 32208.     0.     0. 18856.  8020.     0. 19978.  5206.     0.
 21887.     0.     0. 51929.     0.     0.     0.     0.     0.  7454.
     0.]"
E9uDoFAP3SH_region36	9	2.567891930803643	"[61132. 10335. 23067.     0.     0.     0.     0. 25228. 24126.     0.
  7422.  2177.     0.     0.     0.     0.     0.  1403.     0.     0.
  8169.]"
E9uDoFAP3SH_region7	3	1.4074980751644615	"[46638. 12001.     0.     0.     0.     0.     0. 41053.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
E9uDoFAP3SH_region5	5	2.0429281185891424	"[45916. 13407.     0.     0.     0.     0.     0. 47777. 30435.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  6186.]"
E9uDoFAP3SH_region35	5	1.9431268928525665	"[26358.  4097.     0.     0.     0.     0.     0. 16165.     0.     0.
     0.     0.     0.  9659.     0.     0.     0.     0.     0.     0.
  3031.]"
E9uDoFAP3SH_region43	5	1.9856413032785738	"[55621. 12784.     0.     0.     0.     0.     0. 18525. 13605.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 10745.]"
E9uDoFAP3SH_region40	6	2.132497528143897	"[64867.  6124.     0.     0.     0.     0.     0. 64116. 16757.     0.
 19042.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 11435.]"
E9uDoFAP3SH_region8	12	2.9724814918808615	"[35840. 23486.     0. 13225.  2627.  3581.  9563. 14792.  2168.     0.
  1535.     0.     0. 43181.     0.     0.     0.     0.     0.  3398.
 35345.]"
EDJbREhghzL_region13	7	2.0783292442077386	"[44863.  9957.     0.     0.  2146.     0.     0.  9041.     0.     0.
  7671.     0.     0.     0.     0.     0.     0.     0.     0.  1241.
  8858.]"
EDJbREhghzL_region10	7	2.1588064380397496	"[11653.  2902.     0.     0.     0.     0.     0.  2451.  3060.     0.
     0.     0.     0.     0.     0.     0.     0.  2819.     0. 30082.
  7843.]"
EDJbREhghzL_region1	3	1.3090259693424118	"[10488.     0.     0.     0.     0.     0.     0.  3736.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  2430.
     0.]"
EDJbREhghzL_region0	6	1.7998141077067227	"[    0. 13799.     0.     0.  8421.     0.  1160.  3932. 40696.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  2860.
     0.]"
E9uDoFAP3SH_region6	7	1.8814901356307512	"[89019. 11668.     0.     0.     0.     0.     0. 54718.     0.     0.
     0.     0.     0.     0.     0.     0.   898.  2987. 11039.     0.
  9001.]"
EDJbREhghzL_region14	3	1.0123855449855412	"[26874.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 11136.     0.     0.     0.     0.     0.     0.     0.     0.     0.
   912.]"
E9uDoFAP3SH_region45	10	2.6543647237471744	"[31796. 38378.     0.     0.  3667.  2712.     0. 15939.  3665.     0.
  1997.     0.     0. 48505.     0.     0.     0.     0.     0.  5461.
 50629.]"
EDJbREhghzL_region2	7	2.4990641104598676	"[20002. 18903.     0.     0. 15534.     0.     0.     0. 31353.     0.
  1490.     0.  4421.     0.     0.     0.     0.     0.     0.     0.
 17721.]"
EDJbREhghzL_region7	12	2.8125030871776113	"[55149. 10277.  8275.     0.     0.     0.     0.  8282.  5268.     0.
  4638.     0.     0.  4227.     0.     0.  2120.  1528. 20268.  2039.
 15455.]"
EDJbREhghzL_region12	11	3.0861711437471357	"[46401. 10649.  5681. 10423.  8910.     0.     0. 15030. 12742.     0.
  6926.     0.     0.  6525.     0.     0.     0.     0.     0.  6199.
 26564.]"
EDJbREhghzL_region3	10	3.0794723441845444	"[32030. 20688.     0.     0.  9744. 19033.  8128.     0. 26844.     0.
  3264.     0.     0. 20837.     0.     0.     0.     0.     0.  5681.
 13347.]"
E9uDoFAP3SH_region9	4	1.6507411186719456	"[44800. 15611.     0.     0.     0.     0.     0. 59773.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  7347.]"
EDJbREhghzL_region5	7	2.5391552301899227	"[21622. 20825.     0.     0. 17454.     0.  9547.  3034.     0.     0.
  3750.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 22956.]"
EDJbREhghzL_region4	12	3.153109314659266	"[23100. 16003. 41352.     0. 23391.     0.  2520.     0. 10340.     0.
   873. 12618.     0. 19292.     0.     0.     0.  1569.     0.  8409.
 25953.]"
EDJbREhghzL_region6	10	2.969824247852082	"[46057. 15530.     0. 11783.  9394.     0.     0. 13053.  8674.     0.
  2752.     0.     0.  6314.     0.     0.     0.     0.     0. 12334.
 18358.]"
EDJbREhghzL_region8	6	2.0323862087028193	"[43151. 11655.     0.     0. 14547.     0.     0.     0.     0.  2655.
  6003.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  6184.]"
GdvgFV5R1Z5_region5	9	2.1942687990170233	"[52181.  5349.  3258.     0.     0.     0.     0.  3562.     0.     0.
     0.     0.     0.     0.     0.  8552.  5799.  1891.     0.  2463.
  8011.]"
GdvgFV5R1Z5_region1	5	1.6527901114478245	"[    0.  6420.     0.     0.     0.     0.     0.  7944.     0.     0.
     0.     0.     0.  1531.  1963.     0.     0.     0.     0.     0.
 26784.]"
GdvgFV5R1Z5_region0	7	2.4076619020138033	"[ 4054.  8141. 18328.     0.     0.     0.     0. 10726.     0.     0.
     0.     0.     0.     0.  4499.     0.     0.  1903.     0.     0.
  1904.]"
EDJbREhghzL_region9	7	2.3896585740638843	"[33360. 10512.     0.     0.     0.     0.     0. 37610.     0.     0.
  6676.     0.     0.     0.     0.     0.     0.  9331.     0.  3729.
  9766.]"
GdvgFV5R1Z5_region2	7	2.1371361320232443	"[42609.  5980.     0.  7545.  5011.     0.  3396.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  3991.
 32318.]"
HxpKQynjfin_region0	5	2.0222298925167443	"[ 7243.  5948.     0.     0.     0.     0.     0. 26166.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0. 23673.
  6471.]"
EDJbREhghzL_region11	8	2.299847953760045	"[54672. 14411.     0.     0.     0.     0.     0.  7028.  3932.     0.
     0.     0.     0.     0.     0.     0.     0.  7330.  8099.   720.
 21690.]"
HxpKQynjfin_region1	5	2.0216600408031016	"[35659.  9180.     0.     0.     0.     0.     0. 14700.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.  7708.
  8006.]"
GdvgFV5R1Z5_region3	8	2.4779748257161986	"[23740.  8818.     0.     0. 16563.     0.  6459.     0.  3790.     0.
  1337.     0.     0.  4859.     0.     0.     0.     0.     0.     0.
 35710.]"
HxpKQynjfin_region3	5	2.1166249490949056	"[23753.  6830.     0.     0.     0.     0.     0.  5707.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.  9131.     0.
 11849.]"
GdvgFV5R1Z5_region4	8	2.1445975733701736	"[54055.  9064.   383.     0.     0.     0.  9602.     0.     0.     0.
  1286.     0.     0. 11494.  2662.     0.     0.     0.     0.     0.
 28031.]"
HxpKQynjfin_region6	9	3.067099660805958	"[13008. 11105.     0.     0.  8016. 12869.  7053. 12971.     0.     0.
  4606.     0.     0. 15112.     0.     0.     0.     0.     0.     0.
 19675.]"
HxpKQynjfin_region5	6	2.5677291637195667	"[17203. 16978.     0.     0. 20095.     0.     0. 16323.     0.     0.
 12835.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 21000.]"
HxpKQynjfin_region7	9	2.852462957479259	"[ 9898.  8483. 15293.     0.  4457.  2204.     0.     0.     0.     0.
     0.  4200.  7908.     0.     0.     0.     0.   382.     0.     0.
  7705.]"
JF19kD82Mey_region10	3	0.677578564719393	"[21000.  2170.     0.     0.     0.     0.     0.   994.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
     0.]"
HxpKQynjfin_region4	6	2.1595113304502087	"[43905.  8557.     0.     0.     0.     0.     0. 15940.     0.     0.
     0.     0.     0.     0.     0.     0.  6227.  5683.     0.     0.
 12161.]"
HxpKQynjfin_region2	9	2.7017866033011515	"[21308.  8919.     0. 16461.  3259.     0.     0.     0.  4494.     0.
  1768.     0.  1705. 26911.     0.     0.     0.     0.     0.     0.
 16654.]"
JF19kD82Mey_region0	9	2.9563610399723506	"[36747. 17202.     0. 15636.     0.     0.     0. 15015.  6596.     0.
  4326.     0.     0. 12562.     0.     0.     0.     0.     0. 12010.
 19075.]"
JF19kD82Mey_region7	6	2.067142588438423	"[27508. 10823.   986.     0.     0.     0.     0.  5831.     0.     0.
  3013.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 12493.]"
JF19kD82Mey_region4	6	2.16901142547414	"[16841.  9739.     0.     0.     0.     0.     0.     0.  8039.     0.
     0.     0.     0.     0.     0.     0.  1516.   756.     0.     0.
  9866.]"
JF19kD82Mey_region1	9	2.794322368098485	"[33858. 18353.     0.  8439.  5794.     0.     0.     0.  7663.     0.
  2827.     0.     0. 21021.     0.     0.     0.     0.     0.  3442.
 19066.]"
JF19kD82Mey_region3	4	1.693331767285429	"[30457.  7045.     0.     0.     0.     0.     0. 12509.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  6413.]"
JF19kD82Mey_region13	9	2.8029418296364628	"[22446. 26319.     0.     0.     0. 19337.     0.     0. 29884.  2646.
  3403.     0.     0.  6820.     0.     0.     0.     0.     0.  5478.
 28212.]"
JF19kD82Mey_region11	9	2.610897894957545	"[16572. 10593.     0.     0.  5449.     0.     0.  3347.  1377. 40215.
  5448.     0.  6541.     0.     0.     0.     0.     0.     0.     0.
 11287.]"
JF19kD82Mey_region12	6	1.6852820950339882	"[38006.  9125.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.  2473.  3682.     0.   707.
  6390.]"
JF19kD82Mey_region14	8	2.567454294306291	"[19965. 13306.     0.     0.     0.     0.     0.     0. 23186.     0.
     0.  2112.     0.  2393.     0.     0.     0.  2175.  6775.     0.
 14886.]"
JF19kD82Mey_region8	7	2.3420472581883676	"[ 9661. 25114.     0.     0.  5374.     0.     0.  4069.  3511.     0.
  2567.     0.     0.  5502.     0.     0.     0.     0.     0.     0.
     0.]"
JF19kD82Mey_region5	5	2.2300276983619	"[10350. 20565.     0.  9605.     0.     0.     0.     0.     0.     0.
     0.     0.     0.  9744.     0.     0.     0.     0.     0.     0.
 19915.]"
JF19kD82Mey_region9	5	2.009958611297258	"[33657. 14812.     0.     0.     0.     0.     0.     0. 14190.     0.
  2314.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 13385.]"
JeFG25nYj2p_region10	7	2.0850301205203934	"[71030. 15336.  5443.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.  1225. 13303.  8069.     0.
 22119.]"
JeFG25nYj2p_region1	8	2.711460261460247	"[48495. 21570.     0. 11014.     0.     0.     0. 12071.     0.     0.
  4061.     0.     0. 19684.     0.     0.     0.     0.     0. 12548.
 29445.]"
JF19kD82Mey_region6	9	2.506484341036029	"[26682. 31536.     0.     0.  1214.  8778.     0.  1497.     0.     0.
  1544.     0.     0.  8020.     0.     0.     0.     0.     0.  5715.
  8627.]"
JeFG25nYj2p_region12	9	2.714349738185523	"[45253. 16734.  5821.     0.  4182.     0.     0.     0. 29094.     0.
  6335.     0.  3709. 12324.     0.     0.     0.     0.     0.     0.
 14831.]"
JeFG25nYj2p_region11	3	1.1814879153304614	"[33627.  5415.     0.     0.     0.     0.     0.     0.     0.     0.
     0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  9545.]"
JeFG25nYj2p_region19	9	2.572238265106777	"[37278.  6253.  2034.     0.     0.     0.     0. 10491.  3040.     0.
  6274.     0.     0.     0.     0.     0.     0.  2282.     0.  7873.
 11755.]"
JeFG25nYj2p_region15	9	2.6251986745478972	"[43796. 12695.     0.  8891.  1117.     0.  2116.     0. 17349.     0.
  2906.     0.     0. 17186.     0.     0.     0.     0.     0.     0.
 20686.]"
